Computer,Disk,DiskPercentageUsed,"Free_Space_Label",LogicalDiskSpacePercentageFreeAverage
ACMDPBD225,"C:","72.18%",Warning,"72.18"
ACMDPBD225,"D:","71.8%",Warning,"71.8"
ACMDPBD225,"J:","61.03%",Warning,"61.03"
ACMDPBD225,"E:","46.68%",Healthy,"46.68"
ACMDPBD225,"I:","23.92%",Healthy,"23.92"
ACMDPBD226,"E:","99.89%",Critical,"99.89"
ACMDPBD226,"F:","99.85%",Critical,"99.85"
ACMDPBD226,"J:","99.85%",Critical,"99.85"
ACMDPBD226,"K:","99.85%",Critical,"99.85"
ACMDPBD226,"I:","99.71%",Critical,"99.71"
ACMDPBD226,"H:","99.57%",Critical,"99.57"
ACMDPBD226,"D:","77.68%",Warning,"77.68"
ACMDPBD226,"C:","55.31%",Healthy,"55.31"
